page,date,count
"United_States_presidential_election,_2016_en",2015-07-03,17867
Elizabeth_II_en,2015-07-03,16643
Hillary_Clinton_en,2015-07-03,9521
The_Revenant_(2015_film)_en,2015-07-03,4351
Melania_Trump_en,2015-07-03,10654
Lali_Espósito_en,2015-07-03,166
Wikipedia:Hauptseite_de,2015-07-03,1534
Hauptseite_de,2015-07-03,54132
Spezial:Buch_de,2015-07-03,25417
Spezial:Weblinksuche_de,2015-07-03,50369
Spezial:Beobachtungsliste_de,2015-07-03,33297
Especial:Entrar_es,2015-07-03,96336
Lali_Espósito_es,2015-07-03,964
Pablo_Escobar_en,2015-07-03,9211
Especial:Libro_es,2015-07-03,63403
Служебная:Ссылки_сюда_ru,2015-07-03,116607
Служебная:Ссылки_сюда_ru,2015-07-03,116569
Spezial:Buch_de,2015-07-03,25445
Spezial:Weblinksuche_de,2015-07-03,50369
Spezial:Beobachtungsliste_de,2015-07-03,33621
Spécial:Connexion_fr,2015-07-04,14678
Java_(programming_language)_en,2015-07-04,2442
Lali_Espósito_en,2015-07-04,134
Spécial:Connexion_fr,2015-07-04,19766
Barack_Obama_en,2015-07-04,25659
Deadpool_(film)_en,2015-07-04,8960
Facebook_en,2015-07-04,43095
Game_of_Thrones_en,2015-07-04,38153
List_of_Bollywood_films_of_2016_en,2015-07-04,1828
Muhammad_Ali_en,2015-07-04,19499
Portal:Current_events_en,2015-07-04,30745
Suicide_Squad_(film)_en,2015-07-04,17201
United_States_en,2015-07-04,57864
Batman_v_Superman:_Dawn_of_Justice_en,2015-07-04,16963
Captain_America:_Civil_War_en,2015-07-04,19470
David_Bowie_en,2015-07-04,9033
Google_en,2015-07-04,40972
Islamic_State_of_Iraq_and_the_Levant_en,2015-07-04,42781
Java_(programming_language)_en,2015-07-04,3932
Prince_(musician)_en,2015-07-04,8222
Star_Wars_en,2015-07-04,15633
"United_States_presidential_election,_2016_en",2015-07-04,15215
Elizabeth_II_en,2015-07-04,17458
Hillary_Clinton_en,2015-07-04,8666
The_Revenant_(2015_film)_en,2015-07-04,4212
Melania_Trump_en,2015-07-04,8046
Lali_Espósito_en,2015-07-04,223
Wikipedia:Hauptseite_de,2015-07-04,3113
Hauptseite_de,2015-07-04,30508
Spezial:Buch_de,2015-07-04,20330
Spezial:Weblinksuche_de,2015-07-04,7585
Spezial:Beobachtungsliste_de,2015-07-04,29727
Especial:Entrar_es,2015-07-04,24403
Lali_Espósito_es,2015-07-04,942
Pablo_Escobar_en,2015-07-04,10965
Especial:Libro_es,2015-07-04,20687
Служебная:Ссылки_сюда_ru,2015-07-04,74374
Служебная:Ссылки_сюда_ru,2015-07-04,74325
Spezial:Buch_de,2015-07-04,20362
Spezial:Weblinksuche_de,2015-07-04,7586
Spezial:Beobachtungsliste_de,2015-07-04,30019
Spécial:Connexion_fr,2015-07-05,12691
Java_(programming_language)_en,2015-07-05,2485
Lali_Espósito_en,2015-07-05,91
Spécial:Connexion_fr,2015-07-05,17341
Barack_Obama_en,2015-07-05,25946
Deadpool_(film)_en,2015-07-05,9568
Facebook_en,2015-07-05,46775
Game_of_Thrones_en,2015-07-05,42783
List_of_Bollywood_films_of_2016_en,2015-07-05,1690
Muhammad_Ali_en,2015-07-05,31476
Portal:Current_events_en,2015-07-05,31337
Suicide_Squad_(film)_en,2015-07-05,18068
United_States_en,2015-07-05,54605
Batman_v_Superman:_Dawn_of_Justice_en,2015-07-05,17507
Captain_America:_Civil_War_en,2015-07-05,23668
David_Bowie_en,2015-07-05,9577
Google_en,2015-07-05,42400
Islamic_State_of_Iraq_and_the_Levant_en,2015-07-05,44169
Java_(programming_language)_en,2015-07-05,3795
Prince_(musician)_en,2015-07-05,7769
Star_Wars_en,2015-07-05,17048
"United_States_presidential_election,_2016_en",2015-07-05,13986
Elizabeth_II_en,2015-07-05,26572
Hillary_Clinton_en,2015-07-05,10034
The_Revenant_(2015_film)_en,2015-07-05,4877
Melania_Trump_en,2015-07-05,7845
Lali_Espósito_en,2015-07-05,167
Wikipedia:Hauptseite_de,2015-07-05,1971
Hauptseite_de,2015-07-05,35688
Spezial:Buch_de,2015-07-05,20404
Spezial:Weblinksuche_de,2015-07-05,4293
Spezial:Beobachtungsliste_de,2015-07-05,35354
Especial:Entrar_es,2015-07-05,39875
Lali_Espósito_es,2015-07-05,882
Pablo_Escobar_en,2015-07-05,8842
Especial:Libro_es,2015-07-05,28624
Служебная:Ссылки_сюда_ru,2015-07-05,67047
Служебная:Ссылки_сюда_ru,2015-07-05,67029
Spezial:Buch_de,2015-07-05,20472
Spezial:Weblinksuche_de,2015-07-05,4293
Spezial:Beobachtungsliste_de,2015-07-05,35659
Spécial:Connexion_fr,2015-07-06,45052
Java_(programming_language)_en,2015-07-06,4168
Lali_Espósito_en,2015-07-06,104
Spécial:Connexion_fr,2015-07-06,50090
Barack_Obama_en,2015-07-06,25588
Deadpool_(film)_en,2015-07-06,10946
Facebook_en,2015-07-06,47926
Game_of_Thrones_en,2015-07-06,44893
List_of_Bollywood_films_of_2016_en,2015-07-06,1848
Muhammad_Ali_en,2015-07-06,15596
Portal:Current_events_en,2015-07-06,39384
Suicide_Squad_(film)_en,2015-07-06,20944
United_States_en,2015-07-06,54012
Batman_v_Superman:_Dawn_of_Justice_en,2015-07-06,18975
Captain_America:_Civil_War_en,2015-07-06,21446
David_Bowie_en,2015-07-06,10046
Google_en,2015-07-06,46712
Islamic_State_of_Iraq_and_the_Levant_en,2015-07-06,42292
Java_(programming_language)_en,2015-07-06,5619
Prince_(musician)_en,2015-07-06,7640
Star_Wars_en,2015-07-06,16667
"United_States_presidential_election,_2016_en",2015-07-06,15380
Elizabeth_II_en,2015-07-06,27628
Hillary_Clinton_en,2015-07-06,9699
The_Revenant_(2015_film)_en,2015-07-06,5514
Melania_Trump_en,2015-07-06,8350
Lali_Espósito_en,2015-07-06,185
Wikipedia:Hauptseite_de,2015-07-06,2463
Hauptseite_de,2015-07-06,67372
Spezial:Buch_de,2015-07-06,51545
Spezial:Weblinksuche_de,2015-07-06,54340
Spezial:Beobachtungsliste_de,2015-07-06,35138
Especial:Entrar_es,2015-07-06,93714
Lali_Espósito_es,2015-07-06,1097
Pablo_Escobar_en,2015-07-06,8080
Especial:Libro_es,2015-07-06,52081
Служебная:Ссылки_сюда_ru,2015-07-06,40606
Служебная:Ссылки_сюда_ru,2015-07-06,40477
Spezial:Buch_de,2015-07-06,52408
Spezial:Weblinksuche_de,2015-07-06,54341
Spezial:Beobachtungsliste_de,2015-07-06,35520
Spécial:Connexion_fr,2015-07-07,63392
Java_(programming_language)_en,2015-07-07,4262
Lali_Espósito_en,2015-07-07,85
Spécial:Connexion_fr,2015-07-07,69385
Barack_Obama_en,2015-07-07,24623
Deadpool_(film)_en,2015-07-07,9953
Facebook_en,2015-07-07,46677
Game_of_Thrones_en,2015-07-07,40231
List_of_Bollywood_films_of_2016_en,2015-07-07,1864
Muhammad_Ali_en,2015-07-07,13064
Portal:Current_events_en,2015-07-07,43071
Suicide_Squad_(film)_en,2015-07-07,15724
United_States_en,2015-07-07,48566
Batman_v_Superman:_Dawn_of_Justice_en,2015-07-07,17193
Captain_America:_Civil_War_en,2015-07-07,19332
David_Bowie_en,2015-07-07,8838
Google_en,2015-07-07,47963
Islamic_State_of_Iraq_and_the_Levant_en,2015-07-07,37329
Java_(programming_language)_en,2015-07-07,5829
Prince_(musician)_en,2015-07-07,8411
Star_Wars_en,2015-07-07,16774
"United_States_presidential_election,_2016_en",2015-07-07,15379
Elizabeth_II_en,2015-07-07,20784
Hillary_Clinton_en,2015-07-07,11737
The_Revenant_(2015_film)_en,2015-07-07,5078
Melania_Trump_en,2015-07-07,9504
Lali_Espósito_en,2015-07-07,184
Wikipedia:Hauptseite_de,2015-07-07,2729
Hauptseite_de,2015-07-07,69585
Spezial:Buch_de,2015-07-07,52567
Spezial:Weblinksuche_de,2015-07-07,77863
Spezial:Beobachtungsliste_de,2015-07-07,35714
Especial:Entrar_es,2015-07-07,89205
Lali_Espósito_es,2015-07-07,942
Pablo_Escobar_en,2015-07-07,8000
Especial:Libro_es,2015-07-07,49140
Служебная:Ссылки_сюда_ru,2015-07-07,16482
Служебная:Ссылки_сюда_ru,2015-07-07,16427
Spezial:Buch_de,2015-07-07,53418
Spezial:Weblinksuche_de,2015-07-07,77865
Spezial:Beobachtungsliste_de,2015-07-07,36084
Spécial:Connexion_fr,2015-07-08,16163
Java_(programming_language)_en,2015-07-08,4298
Lali_Espósito_en,2015-07-08,75
Spécial:Connexion_fr,2015-07-08,20359
Barack_Obama_en,2015-07-08,23203
Deadpool_(film)_en,2015-07-08,11656
Facebook_en,2015-07-08,45919
Game_of_Thrones_en,2015-07-08,38047
List_of_Bollywood_films_of_2016_en,2015-07-08,1971
Muhammad_Ali_en,2015-07-08,13673
Portal:Current_events_en,2015-07-08,40824
Suicide_Squad_(film)_en,2015-07-08,14782
United_States_en,2015-07-08,45295
Batman_v_Superman:_Dawn_of_Justice_en,2015-07-08,17238
Captain_America:_Civil_War_en,2015-07-08,20086
David_Bowie_en,2015-07-08,8838
Google_en,2015-07-08,45813
Islamic_State_of_Iraq_and_the_Levant_en,2015-07-08,32664
Java_(programming_language)_en,2015-07-08,5723
Prince_(musician)_en,2015-07-08,8746
Star_Wars_en,2015-07-08,21639
"United_States_presidential_election,_2016_en",2015-07-08,16360
Elizabeth_II_en,2015-07-08,19620
Hillary_Clinton_en,2015-07-08,12101
The_Revenant_(2015_film)_en,2015-07-08,4948
Melania_Trump_en,2015-07-08,10244
Lali_Espósito_en,2015-07-08,157
Wikipedia:Hauptseite_de,2015-07-08,1798
Hauptseite_de,2015-07-08,63227
Spezial:Buch_de,2015-07-08,45051
Spezial:Weblinksuche_de,2015-07-08,60208
Spezial:Beobachtungsliste_de,2015-07-08,35400
Especial:Entrar_es,2015-07-08,63870
Lali_Espósito_es,2015-07-08,825
Pablo_Escobar_en,2015-07-08,7211
Especial:Libro_es,2015-07-08,36029
Служебная:Ссылки_сюда_ru,2015-07-08,38201
Служебная:Ссылки_сюда_ru,2015-07-08,38167
Spezial:Buch_de,2015-07-08,45538
Spezial:Weblinksuche_de,2015-07-08,60210
Spezial:Beobachtungsliste_de,2015-07-08,35666
Spécial:Connexion_fr,2015-07-09,10583
Java_(programming_language)_en,2015-07-09,4328
Lali_Espósito_en,2015-07-09,86
Spécial:Connexion_fr,2015-07-09,15015
Barack_Obama_en,2015-07-09,23265
Deadpool_(film)_en,2015-07-09,13962
Facebook_en,2015-07-09,47724
Game_of_Thrones_en,2015-07-09,36339
List_of_Bollywood_films_of_2016_en,2015-07-09,2542
Muhammad_Ali_en,2015-07-09,13127
Portal:Current_events_en,2015-07-09,37878
Suicide_Squad_(film)_en,2015-07-09,13840
United_States_en,2015-07-09,43931
Batman_v_Superman:_Dawn_of_Justice_en,2015-07-09,17341
Captain_America:_Civil_War_en,2015-07-09,21569
David_Bowie_en,2015-07-09,9279
Google_en,2015-07-09,43576
Islamic_State_of_Iraq_and_the_Levant_en,2015-07-09,31775
Java_(programming_language)_en,2015-07-09,5909
Prince_(musician)_en,2015-07-09,6970
Star_Wars_en,2015-07-09,16928
"United_States_presidential_election,_2016_en",2015-07-09,15874
Elizabeth_II_en,2015-07-09,27334
Hillary_Clinton_en,2015-07-09,10658
The_Revenant_(2015_film)_en,2015-07-09,4767
Melania_Trump_en,2015-07-09,14000
Lali_Espósito_en,2015-07-09,177
Wikipedia:Hauptseite_de,2015-07-09,2961
Hauptseite_de,2015-07-09,62612
Spezial:Buch_de,2015-07-09,24201
Spezial:Weblinksuche_de,2015-07-09,26436
Spezial:Beobachtungsliste_de,2015-07-09,36075
Especial:Entrar_es,2015-07-09,51299
Lali_Espósito_es,2015-07-09,975
Pablo_Escobar_en,2015-07-09,6644
Especial:Libro_es,2015-07-09,31668
Служебная:Ссылки_сюда_ru,2015-07-09,104385
Служебная:Ссылки_сюда_ru,2015-07-09,104375
Spezial:Buch_de,2015-07-09,24221
Spezial:Weblinksuche_de,2015-07-09,26436
Spezial:Beobachtungsliste_de,2015-07-09,36363
Spécial:Connexion_fr,2015-07-10,13770
Java_(programming_language)_en,2015-07-10,3681
Lali_Espósito_en,2015-07-10,89
Spécial:Connexion_fr,2015-07-10,18294
Barack_Obama_en,2015-07-10,23298
Deadpool_(film)_en,2015-07-10,13464
Facebook_en,2015-07-10,47034
Game_of_Thrones_en,2015-07-10,34203
List_of_Bollywood_films_of_2016_en,2015-07-10,2440
Muhammad_Ali_en,2015-07-10,12012
Portal:Current_events_en,2015-07-10,47457
Suicide_Squad_(film)_en,2015-07-10,13521
United_States_en,2015-07-10,44084
Batman_v_Superman:_Dawn_of_Justice_en,2015-07-10,21381
Captain_America:_Civil_War_en,2015-07-10,18941
David_Bowie_en,2015-07-10,8856
Google_en,2015-07-10,43029
Islamic_State_of_Iraq_and_the_Levant_en,2015-07-10,27254
Java_(programming_language)_en,2015-07-10,5083
Prince_(musician)_en,2015-07-10,7072
Star_Wars_en,2015-07-10,16718
"United_States_presidential_election,_2016_en",2015-07-10,14952
Elizabeth_II_en,2015-07-10,29942
Hillary_Clinton_en,2015-07-10,10883
The_Revenant_(2015_film)_en,2015-07-10,4232
Melania_Trump_en,2015-07-10,11745
Lali_Espósito_en,2015-07-10,186
Wikipedia:Hauptseite_de,2015-07-10,2891
Hauptseite_de,2015-07-10,54616
Spezial:Buch_de,2015-07-10,23033
Spezial:Weblinksuche_de,2015-07-10,18180
Spezial:Beobachtungsliste_de,2015-07-10,32912
Especial:Entrar_es,2015-07-10,50846
Lali_Espósito_es,2015-07-10,1038
Pablo_Escobar_en,2015-07-10,6769
Especial:Libro_es,2015-07-10,34936
Служебная:Ссылки_сюда_ru,2015-07-10,156677
Служебная:Ссылки_сюда_ru,2015-07-10,156651
Spezial:Buch_de,2015-07-10,23070
Spezial:Weblinksuche_de,2015-07-10,18180
Spezial:Beobachtungsliste_de,2015-07-10,33198
Spécial:Connexion_fr,2015-07-11,8143
Java_(programming_language)_en,2015-07-11,2416
Lali_Espósito_en,2015-07-11,76
Spécial:Connexion_fr,2015-07-11,12680
Barack_Obama_en,2015-07-11,21995
Deadpool_(film)_en,2015-07-11,10964
Facebook_en,2015-07-11,42568
Game_of_Thrones_en,2015-07-11,44325
List_of_Bollywood_films_of_2016_en,2015-07-11,2414
Muhammad_Ali_en,2015-07-11,11711
Portal:Current_events_en,2015-07-11,35099
Suicide_Squad_(film)_en,2015-07-11,28037
United_States_en,2015-07-11,42337
Batman_v_Superman:_Dawn_of_Justice_en,2015-07-11,72264
Captain_America:_Civil_War_en,2015-07-11,20059
David_Bowie_en,2015-07-11,10038
Google_en,2015-07-11,40280
Islamic_State_of_Iraq_and_the_Levant_en,2015-07-11,25829
Java_(programming_language)_en,2015-07-11,3700
Prince_(musician)_en,2015-07-11,7134
Star_Wars_en,2015-07-11,27555
"United_States_presidential_election,_2016_en",2015-07-11,12337
Elizabeth_II_en,2015-07-11,27717
Hillary_Clinton_en,2015-07-11,9067
The_Revenant_(2015_film)_en,2015-07-11,4545
Melania_Trump_en,2015-07-11,9796
Lali_Espósito_en,2015-07-11,158
Wikipedia:Hauptseite_de,2015-07-11,3021
Hauptseite_de,2015-07-11,30349
Spezial:Buch_de,2015-07-11,16927
Spezial:Weblinksuche_de,2015-07-11,22110
Spezial:Beobachtungsliste_de,2015-07-11,29631
Especial:Entrar_es,2015-07-11,41218
Lali_Espósito_es,2015-07-11,771
Pablo_Escobar_en,2015-07-11,12842
Especial:Libro_es,2015-07-11,25686
Служебная:Ссылки_сюда_ru,2015-07-11,121058
Служебная:Ссылки_сюда_ru,2015-07-11,121019
Spezial:Buch_de,2015-07-11,16937
Spezial:Weblinksuche_de,2015-07-11,22110
Spezial:Beobachtungsliste_de,2015-07-11,29951
Spécial:Connexion_fr,2015-07-12,11962
Java_(programming_language)_en,2015-07-12,2355
Lali_Espósito_en,2015-07-12,85
Spécial:Connexion_fr,2015-07-12,17040
Barack_Obama_en,2015-07-12,25361
Deadpool_(film)_en,2015-07-12,60902
Facebook_en,2015-07-12,41584
Game_of_Thrones_en,2015-07-12,47510
List_of_Bollywood_films_of_2016_en,2015-07-12,2335
Muhammad_Ali_en,2015-07-12,29767
Portal:Current_events_en,2015-07-12,33760
Suicide_Squad_(film)_en,2015-07-12,119961
United_States_en,2015-07-12,44348
Batman_v_Superman:_Dawn_of_Justice_en,2015-07-12,184468
Captain_America:_Civil_War_en,2015-07-12,26025
David_Bowie_en,2015-07-12,8652
Google_en,2015-07-12,39225
Islamic_State_of_Iraq_and_the_Levant_en,2015-07-12,29502
Java_(programming_language)_en,2015-07-12,3651
Prince_(musician)_en,2015-07-12,7313
Star_Wars_en,2015-07-12,25687
"United_States_presidential_election,_2016_en",2015-07-12,14478
Elizabeth_II_en,2015-07-12,26852
Hillary_Clinton_en,2015-07-12,9727
The_Revenant_(2015_film)_en,2015-07-12,6763
Melania_Trump_en,2015-07-12,13938
Lali_Espósito_en,2015-07-12,172
Wikipedia:Hauptseite_de,2015-07-12,1574
Hauptseite_de,2015-07-12,37169
Spezial:Buch_de,2015-07-12,23537
Spezial:Weblinksuche_de,2015-07-12,21652
Spezial:Beobachtungsliste_de,2015-07-12,34742
Especial:Entrar_es,2015-07-12,37300
Lali_Espósito_es,2015-07-12,787
Pablo_Escobar_en,2015-07-12,24827
Especial:Libro_es,2015-07-12,25251
Служебная:Ссылки_сюда_ru,2015-07-12,94955
Служебная:Ссылки_сюда_ru,2015-07-12,94894
Spezial:Buch_de,2015-07-12,23555
Spezial:Weblinksuche_de,2015-07-12,21652
Spezial:Beobachtungsliste_de,2015-07-12,34951
Spécial:Connexion_fr,2015-07-13,13293
Java_(programming_language)_en,2015-07-13,3813
Lali_Espósito_en,2015-07-13,94
Spécial:Connexion_fr,2015-07-13,17933
Barack_Obama_en,2015-07-13,23611
Deadpool_(film)_en,2015-07-13,55063
Facebook_en,2015-07-13,47514
Game_of_Thrones_en,2015-07-13,46263
List_of_Bollywood_films_of_2016_en,2015-07-13,2388
Muhammad_Ali_en,2015-07-13,17173
Portal:Current_events_en,2015-07-13,35446
Suicide_Squad_(film)_en,2015-07-13,276599
United_States_en,2015-07-13,44123
Batman_v_Superman:_Dawn_of_Justice_en,2015-07-13,127177
Captain_America:_Civil_War_en,2015-07-13,24868
David_Bowie_en,2015-07-13,8226
Google_en,2015-07-13,44640
Islamic_State_of_Iraq_and_the_Levant_en,2015-07-13,28240
Java_(programming_language)_en,2015-07-13,5144
Prince_(musician)_en,2015-07-13,6969
Star_Wars_en,2015-07-13,22750
"United_States_presidential_election,_2016_en",2015-07-13,21251
Elizabeth_II_en,2015-07-13,22278
Hillary_Clinton_en,2015-07-13,10665
The_Revenant_(2015_film)_en,2015-07-13,8478
Melania_Trump_en,2015-07-13,12849
Lali_Espósito_en,2015-07-13,176
Wikipedia:Hauptseite_de,2015-07-13,2224
Hauptseite_de,2015-07-13,71172
Spezial:Buch_de,2015-07-13,28327
Spezial:Weblinksuche_de,2015-07-13,59688
Spezial:Beobachtungsliste_de,2015-07-13,37761
Especial:Entrar_es,2015-07-13,48202
Lali_Espósito_es,2015-07-13,909
Pablo_Escobar_en,2015-07-13,24615
Especial:Libro_es,2015-07-13,58068
Служебная:Ссылки_сюда_ru,2015-07-13,56840
Служебная:Ссылки_сюда_ru,2015-07-13,56813
Spezial:Buch_de,2015-07-13,28354
Spezial:Weblinksuche_de,2015-07-13,59689
Spezial:Beobachtungsliste_de,2015-07-13,37991
Spécial:Connexion_fr,2015-07-14,11240
Java_(programming_language)_en,2015-07-14,4196
Lali_Espósito_en,2015-07-14,151
Spécial:Connexion_fr,2015-07-14,16235
Barack_Obama_en,2015-07-14,27103
Deadpool_(film)_en,2015-07-14,35921
Facebook_en,2015-07-14,45337
Game_of_Thrones_en,2015-07-14,39857
List_of_Bollywood_films_of_2016_en,2015-07-14,2075
Muhammad_Ali_en,2015-07-14,14657
Portal:Current_events_en,2015-07-14,39371
Suicide_Squad_(film)_en,2015-07-14,622937
United_States_en,2015-07-14,43614
Batman_v_Superman:_Dawn_of_Justice_en,2015-07-14,95284
Captain_America:_Civil_War_en,2015-07-14,26008
David_Bowie_en,2015-07-14,7901
Google_en,2015-07-14,45496
Islamic_State_of_Iraq_and_the_Levant_en,2015-07-14,26141
Java_(programming_language)_en,2015-07-14,5748
Prince_(musician)_en,2015-07-14,12577
Star_Wars_en,2015-07-14,19062
"United_States_presidential_election,_2016_en",2015-07-14,18668
Elizabeth_II_en,2015-07-14,18283
Hillary_Clinton_en,2015-07-14,10497
The_Revenant_(2015_film)_en,2015-07-14,12553
Melania_Trump_en,2015-07-14,12040
Lali_Espósito_en,2015-07-14,284
Wikipedia:Hauptseite_de,2015-07-14,2913
Hauptseite_de,2015-07-14,66795
Spezial:Buch_de,2015-07-14,30905
Spezial:Weblinksuche_de,2015-07-14,21088
Spezial:Beobachtungsliste_de,2015-07-14,35015
Especial:Entrar_es,2015-07-14,53856
Lali_Espósito_es,2015-07-14,1688
Pablo_Escobar_en,2015-07-14,21254
Especial:Libro_es,2015-07-14,35675
Служебная:Ссылки_сюда_ru,2015-07-14,46864
Служебная:Ссылки_сюда_ru,2015-07-14,46842
Spezial:Buch_de,2015-07-14,30923
Spezial:Weblinksuche_de,2015-07-14,21093
Spezial:Beobachtungsliste_de,2015-07-14,35204
Spécial:Connexion_fr,2015-07-15,10281
Java_(programming_language)_en,2015-07-15,4080
Lali_Espósito_en,2015-07-15,95
Spécial:Connexion_fr,2015-07-15,14596
Barack_Obama_en,2015-07-15,28992
Deadpool_(film)_en,2015-07-15,23396
Facebook_en,2015-07-15,44984
Game_of_Thrones_en,2015-07-15,36860
List_of_Bollywood_films_of_2016_en,2015-07-15,2231
Muhammad_Ali_en,2015-07-15,11571
Portal:Current_events_en,2015-07-15,36791
Suicide_Squad_(film)_en,2015-07-15,260566
United_States_en,2015-07-15,42241
Batman_v_Superman:_Dawn_of_Justice_en,2015-07-15,55836
Captain_America:_Civil_War_en,2015-07-15,23853
David_Bowie_en,2015-07-15,8650
Google_en,2015-07-15,44957
Islamic_State_of_Iraq_and_the_Levant_en,2015-07-15,31181
Java_(programming_language)_en,2015-07-15,5500
Prince_(musician)_en,2015-07-15,16418
Star_Wars_en,2015-07-15,17362
"United_States_presidential_election,_2016_en",2015-07-15,17086
Elizabeth_II_en,2015-07-15,16641
Hillary_Clinton_en,2015-07-15,9372
The_Revenant_(2015_film)_en,2015-07-15,7777
Melania_Trump_en,2015-07-15,12845
Lali_Espósito_en,2015-07-15,231
Wikipedia:Hauptseite_de,2015-07-15,2565
Hauptseite_de,2015-07-15,60724
Spezial:Buch_de,2015-07-15,34880
Spezial:Weblinksuche_de,2015-07-15,38077
Spezial:Beobachtungsliste_de,2015-07-15,36098
Especial:Entrar_es,2015-07-15,47249
Lali_Espósito_es,2015-07-15,1058
Pablo_Escobar_en,2015-07-15,19640
Especial:Libro_es,2015-07-15,33218
Служебная:Ссылки_сюда_ru,2015-07-15,18482
Служебная:Ссылки_сюда_ru,2015-07-15,18454
